Episode,Reward,Steps,RedLightViolations,ObstacleCollisions
0,-8178,449,182,26
1,-48042,2431,975,122
2,-15288,804,326,29
3,-6268,310,129,8
4,-76136,3852,1556,189
5,-17404,934,356,15
6,-7800,418,161,22
7,-18708,1002,400,48
8,-4270,237,93,7
9,-10658,551,217,47
10,-5096,258,99,28
11,-43428,2234,887,99
12,-14210,755,288,37
13,-10232,524,205,13
14,-4696,238,93,24
15,-3700,220,80,6
16,-5746,319,129,10
17,-14058,723,287,24
18,-14206,683,288,36
19,-11166,635,232,33
20,-10052,500,196,25
21,-23030,1247,487,87
22,-56100,2922,1148,152
23,-4626,267,100,6
24,-5432,306,116,12
25,-31074,1627,623,50
26,-21596,1154,460,34
27,-28264,1484,578,71
28,-10410,537,220,35
29,-17378,879,344,29
30,-7524,418,165,10
31,-26864,1410,557,104
32,-7736,428,167,13
33,-16142,881,330,40
34,-17722,895,350,49
35,-14212,762,298,39
36,-22408,1186,452,15
37,-51268,2690,1040,151
38,-23592,1258,502,92
39,-27214,1419,554,46
40,-10214,541,208,21
41,-5332,286,112,28
42,-18488,932,371,42
43,-19310,1079,428,63
44,-7792,466,171,20
45,-17970,947,381,48
46,-8518,467,181,38
47,-8230,485,192,22
48,-3482,183,73,2
49,-9564,530,202,19
50,-18492,988,383,21
51,-6946,351,142,21
52,-6878,379,147,5
53,-12504,754,279,16
54,-7934,395,151,14
55,-21406,1131,430,49
56,-38112,2044,792,71
57,-5202,263,105,14
58,-3720,204,76,12
59,-19744,1040,413,24
60,-14956,808,323,14
61,-8778,465,183,25
62,-32622,1777,676,99
63,-17852,976,365,27
64,-15976,878,333,26
65,-7180,370,141,15
66,-15088,826,307,61
67,-2572,170,54,12
68,-7222,395,149,13
69,-9048,508,191,28
70,-7574,407,155,15
71,-8044,426,159,6
72,-3012,162,66,2
73,-7740,442,170,11
74,-4240,244,88,13
75,-10340,566,211,23
76,-6124,338,130,4
77,-4556,234,91,11
78,-14122,773,297,74
79,-25592,1342,525,78
80,-8052,436,160,23
81,-10374,575,223,14
82,-7132,434,152,38
83,-6922,371,147,8
84,-18602,995,372,29
85,-7646,429,160,20
86,-5530,297,115,7
87,-7042,447,155,11
88,-6584,364,139,12
89,-13840,726,282,24
90,-7328,394,154,21
91,-5178,261,102,10
92,-8882,545,196,25
93,-8702,503,184,22
94,-12228,746,261,27
95,-4510,227,89,7
96,-17264,978,370,45
97,-8032,458,174,9
98,-7552,404,158,14
99,-7266,407,152,29
100,-5622,325,120,34
101,-3306,201,76,9
102,-4672,240,94,12
103,-6776,382,142,3
104,-5056,306,119,8
105,-9472,540,200,27
106,-7308,446,157,19
107,-5878,357,129,7
108,-10004,584,209,11
109,-19156,1104,408,41
110,-11490,641,240,47
111,-7850,441,162,13
112,-11506,615,233,23
113,-5806,317,123,7
114,-3914,223,81,6
115,-3056,162,65,5
116,-2242,139,50,13
117,-2806,155,55,7
118,-5828,370,131,21
119,-2810,163,64,5
120,-5848,346,131,22
121,-2078,131,50,3
122,-8062,453,170,5
123,-6334,401,140,11
124,-8288,478,179,17
125,-5058,293,110,8
126,-2504,166,56,11
127,-4956,274,97,10
128,-2614,165,57,8
129,-10704,640,224,31
130,-10412,632,213,19
131,-3892,232,85,8
132,-7948,478,176,26
133,-3020,178,60,0
134,-11428,658,248,33
135,-11024,594,218,22
136,-4152,258,94,1
137,-3834,221,78,11
138,-7138,447,157,11
139,-10612,666,239,51
140,-12860,788,284,13
141,-7952,448,173,16
142,-3748,248,83,1
143,-4780,288,105,7
144,-8772,550,190,16
145,-4612,260,96,7
146,-4170,249,90,15
147,-8274,495,176,23
148,-3568,228,84,14
149,-6958,399,149,11
150,-1490,101,33,5
151,-2814,201,71,7
152,-8758,569,198,20
153,-3310,215,78,11
154,-2922,163,63,15
155,-8034,451,170,23
156,-6076,370,129,13
157,-3858,245,88,5
158,-3564,214,76,4
159,-3910,237,88,14
160,-4914,311,116,19
161,-8034,517,176,34
162,-7452,446,159,4
163,-5202,325,111,1
164,-3774,217,79,4
165,-13164,758,284,38
166,-4194,309,103,9
167,-7698,455,157,14
168,-6820,410,148,6
169,-4414,277,100,29
170,-4672,294,107,26
171,-4582,283,105,4
172,-2792,194,63,1
173,-3760,218,81,4
174,-3614,235,80,17
175,-4518,253,95,6
176,-3690,225,77,15
177,-2236,142,47,7
178,-6178,411,138,21
179,-5144,362,128,23
180,-3152,218,75,12
181,-2786,181,65,10
182,-5184,366,117,5
183,-4778,325,104,7
184,-3498,239,78,5
185,-2266,149,53,5
186,-6094,425,131,10
187,-5720,352,128,6
188,-3856,214,83,6
189,-8142,485,177,27
190,-2668,166,64,3
191,-3302,221,77,17
192,-8952,598,203,24
193,-2822,155,59,6
194,-2434,155,53,4
195,-6440,394,141,5
196,-6956,426,145,17
197,-3146,195,77,5
198,-4896,298,109,7
199,-5716,332,128,0
200,-3346,191,70,5
201,-3270,203,75,4
202,-6708,428,153,5
203,-5354,335,118,15
204,-4120,244,89,9
205,-4410,263,99,13
206,-5132,338,117,9
207,-2604,170,58,1
208,-8140,530,185,15
209,-5232,300,108,21
210,-3792,230,78,14
211,-3816,234,87,7
212,-1778,139,37,1
213,-3636,260,86,1
214,-2970,183,70,8
215,-9350,539,198,30
216,-2438,155,50,1
217,-3112,194,67,7
218,-2820,202,63,7
219,-2258,179,55,0
220,-1618,149,46,4
221,-2980,182,66,21
222,-3164,196,70,10
223,-4276,280,95,11
224,-1644,102,37,3
225,-2996,218,74,9
226,-2080,156,53,1
227,-2990,199,74,0
228,-3334,219,78,10
229,-2748,172,59,8
230,-2872,190,65,6
231,-4428,308,103,6
232,-3374,231,80,5
233,-2622,173,57,2
234,-3236,206,69,8
235,-2232,138,48,6
236,-1920,130,50,8
237,-1814,123,38,0
238,-3050,205,64,24
239,-3736,222,79,12
240,-2136,138,49,2
241,-3634,259,80,3
242,-3668,228,79,15
243,-2784,182,65,11
244,-2418,187,56,0
245,-3824,266,89,23
246,-2480,162,55,2
247,-3826,291,88,5
248,-3616,250,79,9
249,-3788,290,95,12
250,-3720,268,88,5
251,-2922,191,66,0
252,-1914,163,45,10
253,-2108,170,58,12
254,-3202,243,81,2
255,-2122,157,51,5
256,-2852,200,63,0
257,-3084,206,74,3
258,-2080,164,54,6
259,-1864,128,44,7
260,-2338,199,62,3
261,-3814,259,88,4
262,-2664,162,53,9
263,-3846,267,87,15
264,-1922,147,53,3
265,-2134,165,46,5
266,-2590,169,60,0
267,-7434,513,172,6
268,-2668,190,64,6
269,-2070,157,45,15
270,-3464,198,76,5
271,-1402,123,35,5
272,-2384,196,58,8
273,-1328,94,32,0
274,-1526,109,37,2
275,-4168,272,101,16
276,-2744,208,68,3
277,-4202,271,93,13
278,-2452,194,54,10
279,-1504,122,37,7
280,-2932,210,66,2
281,-2376,172,53,2
282,-2030,111,42,2
283,-3494,253,80,6
284,-5832,408,132,3
285,-1606,113,36,5
286,-1642,135,42,1
287,-1724,140,44,6
288,-3564,288,91,5
289,-3288,208,73,4
290,-1156,102,35,0
291,-2012,140,46,6
292,-2312,190,57,3
293,-904,92,28,4
294,-3732,248,84,13
295,-3828,254,89,0
296,-3132,202,69,6
297,-3842,277,89,20
298,-1910,143,48,1
299,-2598,221,64,3
300,-1774,137,44,6
301,-2172,134,43,0
302,-2036,140,44,8
303,-2420,142,52,6
304,-3816,260,89,8
305,-2972,214,69,23
306,-1696,146,47,13
307,-1678,125,42,7
308,-3484,214,77,7
309,-2064,130,45,2
310,-1986,147,44,3
311,-3040,202,69,19
312,-2228,178,56,9
313,-2052,170,50,5
314,-1114,85,31,0
315,-1620,112,38,3
316,-3028,222,73,21
317,-1376,90,29,1
318,-2712,202,67,3
319,-1714,115,44,6
320,-3820,274,93,8
321,-4298,317,103,19
322,-2324,160,52,3
323,-2280,134,47,0
324,-1880,106,42,2
325,-2678,155,56,9
326,-4886,331,108,27
327,-1884,138,46,8
328,-2558,189,61,1
329,-1650,145,41,0
330,-2592,198,65,3
331,-1540,146,41,6
332,-1360,90,29,1
333,-3086,203,65,18
334,-1312,114,33,5
335,-2304,210,56,2
336,-2932,244,75,11
337,-1874,153,45,9
338,-1950,167,47,3
339,-2476,220,70,0
340,-1646,113,44,5
341,-2156,160,50,16
342,-3272,230,79,8
343,-2812,186,65,7
344,-1766,125,43,1
345,-2064,152,51,8
346,-1862,135,43,4
347,-3160,236,75,0
348,-3072,198,67,5
349,-1498,123,39,6
350,-2138,133,44,7
351,-1984,158,53,18
352,-1472,122,36,4
353,-2564,194,60,5
354,-2668,204,62,10
355,-1902,137,50,8
356,-3528,222,75,8
357,-1130,85,28,1
358,-2156,176,50,12
359,-2474,167,56,0
360,-2822,227,63,0
361,-3276,234,80,0
362,-1472,106,35,3
363,-1620,116,39,6
364,-1328,96,27,1
365,-1646,119,40,3
366,-1156,100,31,1
367,-1524,96,35,2
368,-3084,230,77,10
369,-2414,179,54,4
370,-3258,237,69,11
371,-2456,166,57,1
372,-2074,157,51,10
373,-1910,151,45,3
374,-1720,130,45,4
375,-1522,147,42,2
376,-1744,146,42,11
377,-1212,100,32,2
378,-1578,129,47,4
379,-1432,110,33,20
380,-1512,130,35,0
381,-1252,98,28,10
382,-1564,148,43,4
383,-1902,151,49,4
384,-1308,116,37,2
385,-2612,206,59,6
386,-1052,100,27,2
387,-2190,177,53,9
388,-920,94,32,5
389,-1884,180,55,0
390,-1836,144,45,1
391,-2308,182,57,16
392,-2154,181,55,18
393,-1456,126,40,13
394,-1444,148,42,5
395,-1008,102,29,3
396,-1144,98,30,2
397,-988,92,27,1
398,-2356,166,55,0
399,-2470,195,58,4
400,-2310,163,52,5
401,-1944,172,47,1
402,-1506,129,42,1
403,-2532,206,64,1
404,-1510,109,37,1
405,-2004,150,45,7
406,-962,109,28,1
407,-1944,182,46,0
408,-1520,114,38,3
409,-1880,138,41,2
410,-1698,147,45,11
411,-904,108,27,6
412,-2068,166,55,0
413,-2206,173,59,5
414,-1234,129,37,0
415,-1252,102,34,1
416,-2728,218,68,7
417,-1548,122,39,1
418,-2686,171,56,19
419,-1600,154,45,0
420,-1680,130,46,0
421,-1818,123,41,1
422,-1196,106,32,9
423,-1652,154,45,4
424,-1094,107,29,4
425,-1156,98,25,1
426,-2164,202,56,13
427,-1252,108,33,7
428,-592,94,25,4
429,-944,82,25,0
430,-2472,218,61,22
431,-1498,139,40,0
432,-1608,122,38,1
433,-1212,100,28,4
434,-1414,121,35,9
435,-2044,184,53,20
436,-1156,94,31,3
437,-1228,98,31,5
438,-1804,138,46,6
439,-1638,125,41,1
440,-1542,137,37,11
441,-1360,120,31,12
442,-1432,118,35,5
443,-1458,115,30,6
444,-1456,146,45,4
445,-896,76,23,2
446,-652,62,17,4
447,-658,77,22,5
448,-1334,135,38,7
449,-2154,157,52,3
450,-1460,96,35,3
451,-1048,96,32,0
452,-1282,145,38,7
453,-952,80,26,3
454,-1902,191,54,0
455,-1200,106,32,7
456,-912,138,30,0
457,-1588,132,44,6
458,-1540,136,42,10
459,-1396,134,43,1
460,-1738,165,43,7
461,-2184,198,62,6
462,-1796,162,43,1
463,-954,91,26,3
464,-2340,202,56,2
465,-1686,187,48,8
466,-1526,155,36,11
467,-1704,132,41,5
468,-1238,97,33,3
469,-3074,241,69,13
470,-906,97,25,1
471,-1004,120,34,13
472,-2048,158,48,9
473,-1922,149,51,11
474,-1038,105,28,7
475,-698,121,24,2
476,-1678,103,34,9
477,-806,91,27,2
478,-1624,154,40,0
479,-742,101,23,5
480,-1060,152,35,5
481,-1902,143,46,8
482,-1160,92,31,4
483,-1352,112,33,9
484,-1282,135,36,5
485,-1222,149,35,1
486,-1890,153,43,4
487,-1810,121,41,1
488,-1092,94,31,4
489,-348,52,14,2
490,-1988,142,48,2
491,-1944,154,47,4
492,-1954,213,60,5
493,-1520,126,36,6
494,-792,98,28,1
495,-1550,149,45,4
496,-1840,142,48,3
497,-1560,146,44,7
498,-2028,178,53,11
499,-1676,156,45,8
500,-966,135,33,2
501,-1368,130,40,0
502,-844,98,24,4
503,-550,75,13,0
504,-736,108,21,5
505,-1414,119,37,10
506,-1326,115,35,8
507,-1496,132,39,6
508,-1334,113,35,1
509,-1026,105,29,1
510,-1282,121,37,4
511,-1414,143,43,6
512,-1346,101,35,0
513,-1038,105,32,1
514,-1070,71,23,1
515,-1332,138,39,2
516,-890,125,28,9
517,-2112,176,52,16
518,-1818,151,45,5
519,-1158,125,33,3
520,-966,97,25,3
521,-800,86,24,1
522,-2028,170,51,13
523,-888,92,28,3
524,-2052,184,54,6
525,-1268,134,35,3
526,-1514,149,40,3
527,-1072,94,28,2
528,-1064,90,30,3
529,-1130,107,29,2
530,-1786,147,45,7
531,-572,82,21,1
532,-1080,106,29,11
533,-1826,189,54,0
534,-1608,168,52,0
535,-1136,126,34,2
536,-1524,148,42,7
537,-1758,143,44,6
538,-1076,114,33,0
539,-2078,197,61,0
540,-1470,143,39,6
541,-796,82,22,1
542,-1032,106,26,7
543,-1058,93,26,1
544,-1168,120,31,6
545,-1378,145,40,13
546,-1644,142,46,2
547,-986,101,29,5
548,-1514,159,42,7
549,-2256,226,57,3
550,-1054,101,26,11
551,-1412,134,36,5
552,-1338,123,40,3
553,-1516,154,45,6
554,-1344,114,40,1
555,-872,108,28,1
556,-2950,207,69,14
557,-1244,116,32,6
558,-1334,153,41,8
559,-1698,161,46,14
560,-1210,87,28,4
561,-1098,125,32,14
562,-1376,136,35,0
563,-1216,136,34,4
564,-1136,110,29,0
565,-926,93,27,0
566,-834,105,29,0
567,-1358,121,36,1
568,-1152,104,32,4
569,-1592,134,41,1
570,-566,117,24,6
571,-880,80,25,1
572,-1788,134,43,14
573,-1080,138,34,5
574,-1188,108,34,2
575,-1186,129,33,1
576,-582,73,19,7
577,-1286,113,34,9
578,-746,87,27,2
579,-1242,133,33,7
580,-880,96,26,2
581,-738,71,16,0
582,-978,107,30,0
583,-880,98,24,2
584,-942,107,29,1
585,-1050,107,32,1
586,-1088,114,31,7
587,-874,109,27,0
588,-1342,127,37,0
589,-586,85,20,6
590,-724,80,23,0
591,-704,62,19,1
592,-664,98,23,0
593,-586,83,18,1
594,-636,68,19,1
595,-1040,94,27,6
596,-1112,148,40,14
597,-1478,121,39,10
598,-960,144,37,0
599,-932,104,29,1
600,-942,87,28,2
601,-1512,154,44,12
602,-990,109,35,3
603,-724,88,23,0
604,-1198,95,27,0
605,-908,140,31,3
606,-962,129,32,6
607,-1194,97,31,1
608,-706,127,28,5
609,-976,122,30,3
610,-1260,100,32,7
611,-1534,137,41,2
612,-646,89,22,5
613,-984,88,24,4
614,-1226,121,34,0
615,-474,65,15,1
616,-952,94,25,4
617,-892,98,27,7
618,-1036,122,32,11
619,-974,101,27,0
620,-976,104,30,1
621,-1164,120,34,0
622,-838,79,23,0
623,-830,107,26,1
624,-718,91,25,1
625,-562,93,21,4
626,-978,111,34,0
627,-1448,162,47,1
628,-730,123,29,1
629,-782,93,21,7
630,-780,112,28,9
631,-856,86,26,6
632,-736,84,19,0
633,-862,103,24,7
634,-240,52,11,1
635,-874,111,27,6
636,-442,77,18,0
637,-634,65,18,2
638,-782,79,23,0
639,-1178,117,34,3
640,-980,102,27,3
641,-962,101,29,7
642,-1034,103,27,0
643,-796,108,29,15
644,-1038,95,27,0
645,-666,125,26,9
646,-1572,126,39,2
647,-1108,108,29,7
648,-948,128,33,6
649,-1182,119,34,2
650,-622,77,21,2
651,-826,111,25,1
652,-1096,114,31,0
653,-1054,133,34,0
654,-686,87,22,2
655,-824,116,24,2
656,-964,96,24,0
657,-432,54,13,0
658,-850,85,23,2
659,-762,97,25,0
660,-950,151,30,8
661,-1108,114,34,5
662,-682,75,18,0
663,-940,98,28,0
664,-904,82,24,1
665,-572,92,20,1
666,-1188,120,34,8
667,-916,102,26,3
668,-594,93,22,4
669,-432,96,21,7
670,-884,104,26,6
671,-976,94,24,0
672,-866,99,25,1
673,-832,98,27,0
674,-856,68,22,0
675,-988,80,27,0
676,-850,103,26,2
677,-554,69,20,4
678,-958,97,31,6
679,-906,97,24,4
680,-578,79,18,2
681,-456,68,20,4
682,-1326,137,37,1
683,-588,70,19,0
684,-850,107,28,3
685,-712,106,27,3
686,-1036,114,32,2
687,-644,82,21,5
688,-518,99,24,0
689,-530,101,25,0
690,-818,81,23,1
691,-780,88,22,0
692,-418,95,22,7
693,-228,66,12,2
694,-492,66,17,0
695,-1056,100,32,1
696,-442,57,15,0
697,-1056,94,23,5
698,-814,99,26,1
699,-740,82,22,7
700,-184,50,11,4
701,-532,82,21,1
702,-682,101,22,1
703,-580,70,16,6
704,-804,92,18,0
705,-832,80,23,0
706,-366,79,20,5
707,-906,83,23,3
708,-558,61,16,4
709,-1496,184,42,5
710,-644,72,16,0
711,-1038,129,31,7
712,-690,97,25,6
713,-2036,176,51,5
714,-226,73,15,0
715,-998,87,26,10
716,-678,131,26,9
717,-1654,171,47,3
718,-974,115,34,3
719,-480,98,18,5
720,-1284,130,36,11
721,-632,74,20,2
722,-1152,132,35,10
723,-526,73,16,1
724,-930,105,30,0
725,-1104,88,27,2
726,-766,89,26,4
727,-968,96,29,0
728,-766,89,25,0
729,-924,86,29,0
730,-552,66,15,2
731,-416,90,18,2
732,-638,75,18,1
733,-496,66,17,6
734,-694,75,23,0
735,-370,67,17,4
736,-640,74,18,5
737,-940,84,25,0
738,-988,86,24,2
739,-680,90,21,1
740,-414,85,20,2
741,-426,71,18,0
742,-688,76,20,0
743,-734,73,22,0
744,-792,88,23,6
745,-788,88,24,0
746,-736,78,20,1
747,-1074,115,30,6
748,-470,77,18,0
749,-1204,126,34,2
750,-334,69,15,1
751,-1128,112,31,4
752,-1098,105,32,4
753,-416,62,15,2
754,-588,98,21,2
755,-1072,114,28,1
756,-492,60,14,3
757,-288,62,17,1
758,-680,76,20,4
759,-884,128,29,2
760,-1182,129,34,15
761,-726,87,21,1
762,-526,91,22,2
763,-784,100,28,2
764,-1184,94,29,8
765,-436,60,13,1
766,-498,103,21,1
767,-996,90,25,1
768,-478,69,18,0
769,-678,79,18,5
770,-950,85,28,2
771,-710,135,33,2
772,-242,51,12,0
773,-536,76,15,2
774,-576,94,20,1
775,-334,61,14,0
776,-516,80,17,1
777,-742,111,22,5
778,-376,74,15,1
779,-638,77,19,2
780,-748,144,30,0
781,-866,105,27,0
782,-576,86,22,1
783,-170,67,12,0
784,-540,76,17,0
785,-664,104,24,1
786,-466,81,18,1
787,-808,112,27,3
788,-622,87,18,2
789,-382,69,17,3
790,-696,78,19,2
791,-486,77,18,0
792,-786,79,25,0
793,-488,66,17,5
794,-554,115,26,7
795,-442,101,22,4
796,-422,73,19,1
797,-428,80,17,6
798,-650,47,17,2
799,-442,85,20,4
800,-610,87,19,0
801,-620,90,21,3
802,-424,66,15,3
803,-224,76,13,0
804,-512,88,18,5
805,-826,95,25,3
806,-500,58,16,2
807,-488,68,17,0
808,-570,95,20,0
809,-848,76,21,0
810,-832,112,23,7
811,-462,97,22,1
812,-480,104,25,2
813,-548,54,15,1
814,-426,85,16,0
815,-1220,118,33,2
816,-588,82,20,2
817,-470,67,17,1
818,-514,93,24,3
819,-482,73,16,4
820,-720,104,27,1
821,-1072,112,26,9
822,-624,86,22,3
823,-722,93,24,2
824,-516,96,20,6
825,-600,88,21,3
826,-664,86,23,1
827,-600,74,21,0
828,-632,90,20,4
829,-540,76,19,2
830,-620,88,21,1
831,-1078,137,31,4
832,-848,112,28,3
833,-582,89,26,7
834,-1084,88,28,6
835,-680,80,19,2
836,-678,81,23,10
837,-718,87,22,0
838,-310,93,19,5
839,-848,134,30,4
840,-1070,125,33,0
841,-230,57,12,5
842,-638,95,24,8
843,-592,84,19,0
844,-806,105,25,1
845,-672,88,22,0
846,-316,80,15,1
847,-1178,129,38,0
848,-760,94,23,4
849,-548,114,25,1
850,-754,91,25,3
851,-612,106,25,6
852,-824,108,26,2
853,-466,95,23,5
854,-846,93,27,6
855,-816,94,24,4
856,-418,91,15,2
857,-322,75,15,6
858,-790,131,31,0
859,-864,98,26,6
860,-422,83,15,3
861,-620,98,25,4
862,-184,84,14,4
863,-368,78,18,0
864,-274,69,14,2
865,-832,118,28,8
866,-482,67,17,0
867,-476,84,16,0
868,-864,120,21,0
869,-562,81,20,2
870,-774,105,24,3
871,-512,102,24,9
872,-868,122,27,6
873,-582,83,19,0
874,-236,66,18,1
875,-636,92,21,10
876,-560,78,18,1
877,-532,82,20,3
878,-184,52,11,6
879,-778,89,22,0
880,-614,105,24,3
881,-468,70,22,0
882,-568,76,18,0
883,-470,71,17,0
884,-524,100,20,4
885,-632,88,19,10
886,-432,62,13,6
887,-788,106,26,4
888,-438,75,17,3
889,-672,108,22,1
890,-364,72,15,2
891,-420,62,14,3
892,-578,85,20,0
893,-514,81,17,7
894,-422,81,20,1
895,-716,88,23,4
896,-700,94,22,3
897,-814,93,24,1
898,-374,65,15,1
899,-382,65,13,1
900,-826,79,22,0
901,-284,60,13,0
902,-480,80,17,2
903,-556,86,21,0
904,-324,84,13,2
905,-636,64,16,0
906,-434,81,21,3
907,-628,78,19,1
908,-228,76,11,0
909,-620,78,18,0
910,-320,82,19,0
911,-634,67,20,3
912,-694,83,21,8
913,-426,75,15,0
914,-424,74,18,0
915,-918,123,30,0
916,-584,74,19,2
917,-572,84,18,1
918,-330,81,15,2
919,-618,97,25,11
920,-262,73,13,1
921,-404,78,15,0
922,-484,74,16,0
923,-600,122,25,7
924,-874,117,28,7
925,-526,63,16,0
926,-112,74,12,5
927,-322,69,17,0
928,-668,78,19,1
929,-380,66,15,1
930,-472,84,19,6
931,-276,56,12,0
932,-804,102,26,7
933,-726,91,23,3
934,-524,92,20,5
935,-630,65,18,0
936,-420,86,15,1
937,-484,92,17,6
938,-628,80,16,1
939,-364,64,15,0
940,-454,111,21,0
941,-236,60,13,2
942,-422,79,19,2
943,-578,77,19,1
944,-570,79,17,2
945,-224,74,15,0
946,-372,74,15,1
947,-386,53,15,0
948,-128,56,10,3
949,-522,89,19,0
950,-238,57,13,4
951,-354,105,15,7
952,-422,73,18,0
953,-438,55,16,3
954,-582,75,19,0
955,-624,92,23,3
956,-374,71,18,8
957,-538,67,17,1
958,-738,69,20,9
959,-516,102,22,4
960,-576,84,20,0
961,-936,86,21,2
962,-354,43,12,1
963,-228,68,15,1
964,-414,89,14,1
965,-420,78,20,0
966,-518,83,18,2
967,-170,69,12,1
968,-116,70,11,2
969,-558,109,27,2
970,-460,86,20,3
971,-324,58,12,0
972,-66,77,12,0
973,-622,89,17,6
974,-254,87,16,1
975,-344,52,13,6
976,-476,70,15,6
977,-488,114,26,0
978,90,59,7,0
979,-338,59,14,1
980,-430,69,16,3
981,-264,86,17,1
982,-456,92,21,4
983,-416,70,15,0
984,-382,77,16,0
985,-270,79,13,9
986,-478,91,22,2
987,-590,75,19,6
988,-438,61,16,5
989,-516,78,19,1
990,-396,52,14,2
991,-220,78,16,3
992,-1284,122,38,3
993,-340,76,17,6
994,-214,73,16,1
995,-350,89,17,5
996,-622,87,21,5
997,-318,75,17,0
998,-270,67,15,4
999,-380,68,13,2
1000,-770,95,24,1
1001,-718,93,23,2
1002,-422,81,19,5
1003,-570,79,22,3
1004,-224,76,11,1
1005,-470,79,19,5
1006,-486,61,19,0
1007,-494,87,19,0
1008,-288,52,14,1
1009,-624,78,19,0
1010,-176,66,12,1
1011,-260,66,15,0
1012,-314,77,17,2
1013,-202,89,17,0
1014,-586,87,19,4
1015,-198,59,13,5
1016,-390,53,15,1
1017,-488,72,15,2
1018,-328,72,14,1
1019,-264,64,12,0
1020,-524,78,21,0
1021,-362,85,18,0
1022,-548,70,16,1
1023,-370,67,14,0
1024,-120,60,11,6
1025,-374,73,16,2
1026,-664,88,22,0
1027,-516,72,17,1
1028,-626,71,18,0
1029,-268,74,11,7
1030,-466,91,18,0
1031,-164,68,13,1
1032,-156,64,10,5
1033,-426,65,17,8
1034,-116,64,13,5
1035,-684,86,21,0
1036,-112,74,11,1
1037,-582,99,23,1
1038,-432,76,17,5
1039,-386,79,17,7
1040,-570,93,21,7
1041,-286,63,12,1
1042,-228,50,13,0
1043,-164,66,13,0
1044,-356,82,17,0
1045,-344,58,13,0
1046,-336,60,14,0
1047,-208,72,13,0
1048,-436,56,15,3
1049,-352,96,19,4
1050,-702,97,26,1
1051,-778,113,29,4
1052,-176,70,12,0
1053,-482,77,18,4
1054,-328,64,14,0
1055,-686,81,24,8
1056,-152,70,11,3
1057,-682,101,27,4
1058,-314,79,17,1
1059,-186,69,15,1
1060,-560,94,21,2
1061,-364,82,18,2
1062,-478,77,21,4
1063,-160,78,14,2
1064,-504,108,24,2
1065,-262,65,14,7
1066,-66,65,12,0
1067,-612,80,20,0
1068,-214,81,17,0
1069,-716,80,21,5
1070,-416,78,17,12
1071,-394,69,17,1
1072,-456,72,15,0
1073,-62,63,11,0
1074,-412,82,19,1
1075,-654,107,24,1
1076,-124,52,11,0
1077,-362,73,17,0
1078,-256,72,13,0
1079,-142,87,15,5
